"index","space_id","name","year","month","Volumetric_Soil_Moisture_Content_depth_below_surface_layer_5_cm_mean","Pressure_surface_mean","Maximum_specific_humidity_at_2m_height_above_ground_6_Hour_Interval_mean","Minimum_specific_humidity_at_2m_height_above_ground_6_Hour_Interval_mean","Specific_humidity_height_above_ground_mean","Precipitation_rate_surface_6_Hour_Average_mean","Volumetric_Soil_Moisture_Content_depth_below_surface_layer_25_cm_mean","Minimum_temperature_height_above_ground_6_Hour_Interval_mean","Maximum_temperature_height_above_ground_6_Hour_Interval_mean","Volumetric_Soil_Moisture_Content_depth_below_surface_layer_70_cm_mean","Volumetric_Soil_Moisture_Content_depth_below_surface_layer_150_cm_mean","Temperature_height_above_ground_mean","winter_wheat_yield","winter_barley_yield","spring_wheat_yield","spring_barley_yield","longitude","latitude","total_precipitation"
0,12,"Skåne",2000,1,0.265842152923405,100864.955966752,0.00399195849204859,0.00361254502618212,0.00380046567604188,2.35091529836301e-05,0.265053683549004,274.466162364317,275.701385835126,0.266900931685917,0.260047165962125,275.123109511378,7590,5920,6480,5430,13.6065503016,55.962847797,60.9357245335692
1,12,"Skåne",2000,2,0.268716695673022,100476.448725407,0.00426547585162375,0.00388980855045984,0.00407415000280889,2.29680558988254e-05,0.267817121729525,275.444873921181,276.941984662854,0.268336986197355,0.26481413759259,276.231562508925,7590,5920,6480,5430,13.6065503016,55.962847797,59.5332008897554
2,12,"Skåne",2000,3,0.260445629111264,100638.109167821,0.00407543971172039,0.00360526073794709,0.00381936498984723,4.11755886216389e-05,0.265733362840843,275.129517473892,277.145230206645,0.267583498801029,0.266996704549643,276.123819678084,7590,5920,6480,5430,13.6065503016,55.962847797,106.727125707288
3,12,"Skåne",2000,4,0.237284763231703,100408.157080777,0.00556380316393523,0.00499513305666888,0.00529511641131569,2.01149540939107e-05,0.255148121630885,279.801467574886,283.129378859007,0.260103051639399,0.262914942591113,281.611233148009,7590,5920,6480,5430,13.6065503016,55.962847797,52.1379610114165
4,12,"Skåne",2000,5,0.179046749006092,101022.241984959,0.00629212152082205,0.00535256952486261,0.00576633952111191,1.88415917045376e-05,0.225957091910094,283.633279899312,287.677788065751,0.234933753216899,0.241746263609968,285.768980628308,7590,5920,6480,5430,13.6065503016,55.962847797,48.8374056981614
5,12,"Skåne",2000,6,0.216006902726064,100926.166155419,0.00768297111494362,0.0067149166654603,0.00714969864807124,3.19645449950102e-05,0.218123490869437,286.075838607757,289.045151663704,0.214163098689392,0.218521686493626,287.661205312031,7590,5920,6480,5430,13.6065503016,55.962847797,82.8521006270665
6,12,"Skåne",2000,7,0.227655699243576,100248.782282802,0.00892179312430784,0.00796691258841688,0.00838518529032954,2.33470711678385e-05,0.228908620476484,286.867002536631,290.213549205343,0.213761971134202,0.202813520169674,288.583202913542,7590,5920,6480,5430,13.6065503016,55.962847797,60.5156084670374
7,12,"Skåne",2000,8,0.216852950734558,100969.309444884,0.0090284301420822,0.00816176553680172,0.00849444493283459,2.62349223926293e-05,0.218899621366704,287.368910894615,290.015462341626,0.209636755892211,0.194862541025258,288.707110457248,7590,5920,6480,5430,13.6065503016,55.962847797,68.0009188416952
8,12,"Skåne",2000,9,0.218694033928262,101058.524412065,0.00750130317575043,0.006906779020924,0.00712649451920111,2.68992842360274e-05,0.238907038139924,285.052663845226,287.161408398634,0.221486552138885,0.192903429125593,286.131087199018,7590,5920,6480,5430,13.6065503016,55.962847797,69.722944739783
9,12,"Skåne",2000,10,0.23239670245306,100611.341158718,0.00770735875773548,0.00715348975543174,0.0073899153542813,3.17866490944699e-05,0.230280288134972,283.931127528967,285.332026492009,0.2222435140243,0.198237469969056,284.626676471498,7590,5920,6480,5430,13.6065503016,55.962847797,82.3909944528659
10,12,"Skåne",2000,11,0.253349166836115,100025.91756135,0.00596681505411669,0.00560870577686215,0.00574102257401611,3.71910020495286e-05,0.251188080260725,280.275559487762,281.315472821663,0.235870222781192,0.206991523875508,280.758787942274,7590,5920,6480,5430,13.6065503016,55.962847797,96.3990773123781
11,12,"Skåne",2000,12,0.268568590068818,100245.728527607,0.00486563613061493,0.00451921976584164,0.00468703777707827,2.39499926770544e-05,0.261082239506327,276.920155274002,277.833388674502,0.254527473465744,0.228379261706486,277.411879452106,7590,5920,6480,5430,13.6065503016,55.962847797,62.0783810189249
12,12,"Skåne",2001,1,0.285888997421633,100844.086310113,0.00404507903796398,0.0037533918021787,0.00389660480315117,2.43971774872404e-05,0.265863918329073,274.444045584154,275.443768584891,0.263060454397912,0.248598230876231,274.972414711643,7640,5900,6020,5790,13.6065503016,55.962847797,63.237484046927
13,12,"Skåne",2001,2,0.271962624037749,100807.239811569,0.00362535947360804,0.00320123124221712,0.00341525152949156,2.75685391213439e-05,0.269136768664879,272.798277923039,274.620798658008,0.264252233774262,0.257328340635379,273.770364090187,7640,5900,6020,5790,13.6065503016,55.962847797,71.4576534025234
